id,name
1,Adrian Nathan West
2,Alison L. Strayer
3,Angela Rodel
4,Aniruddhan Vasudevan
5,Anna Moschovakis
6,Anne McLean
7,Annelise Finegan Wasmoen
8,Anton Hur
9,Antonia Lloyd-Jones
10,Camilo A. Ramirez
11,Carolina Orloff
12,Charlotte Barslund
13,Charlotte Collins
14,Chen Zeping
15,Daisy Rockwell
16,Damion Searls
17,Daniel Hahn
18,Daniel Levin Becker
19,Darryl Sterk
20,David Boyd
21,David Doherty
22,Deborah Bragan-Turner
23,Deborah Smith
24,Eileen Myles
25,Elisabeth Jaquette
26,Elizabeth Heighway
27,Fiona Mackintosh
28,Frances Riddle
29,Frank Wynne
30,George Szirtes
31,Iona Macintyre
32,Jackie Smith
33,Jae Won Chung
34,Jen Calleja
35,Jennifer Croft
36,Jennifer Higgins
37,Jeremy Tiang
38,Jessica Cohen
39,John Batki
40,Jonathan Wright
41,Karen Gernant
42,Katy Derbyshire
43,Leslie Camhi
44,Margaret Jull Costa
45,Marilyn Booth
46,Mark Polizzotti
47,Martin Aitken
48,Megan McDowell
49,Michele Hutchinson
50,Michiel Heyns
51,Natasha Wimmer
52,Nichola Smalley
53,Nicole d'Amonville Alegría
54,Ottilie Mulzet
55,Reuben Woolley
56,Richard Philcox
57,Rosalind Harvey
58,Ross Benjamin
59,Ruth Martin
60,Sam Bett
61,Sam Garrett
62,Sam Taylor
63,Sarah Moses
64,Sasha Dugdale
65,Shaun Whiteside
66,Sherilyn Nicolette Hellberg
67,Simon Pare
68,Sophie Hughes
69,Sophie Lewis
70,Sora Kim-Russell
71,Stephen Snyder
72,Susan Bernofsky
73,Tiffany Tsao
74,Ngũgĩ wa Thiong'o