id,publisher
1,And Other Stories
2,Charco Press
3,Europa Editions
4,Faber & Faber
5,Fitzcarraldo Editions
6,Granta Books
7,Harvill Secker
8,Honford Star
9,Jonathan Cape
10,Literatura Random House
11,Lolli Editions
12,MacLehose Press
13,Oneworld
14,Peirene Press
15,Picador
16,Portobello Books
17,Pushkin Press
18,Riverrun
19,Sandstone Press
20,Scribe UK
21,Scribner
22,Seagull Books
23,Serpent's Tail
24,Text Publishing
25,The New Press
26,Tilted Axis Press
27,Transit Books
28,Tuskar Rock
29,Verso Fiction
30,W&N
31,William Heinemann
32,World Editions
33,Yale University Press